Particulars,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Company Symbol
Gross Profit,69924,81987,80593.4,86821.1,96541.1,101692.5,92432.8,98092.9,110523.4,144607.5,BAJAJ-AUTO
Selling General & Admin Exp.,9092.6,14047.8,14601.1,16281.9,17982.7,20109.8,15967.9,15935,19053.6,16270,BAJAJ-AUTO
Provision for Bad Debts,,,,,,,,,,,BAJAJ-AUTO
R & D Exp.,,,,,,,,,,,BAJAJ-AUTO
Depreciation & Amort.,2668,3065.1,3066.4,3141.5,2650.4,2457.8,2587.2,2677.8,2838.7,3647.7,BAJAJ-AUTO
Other Operating Expense/(Income),14578.2,10775.2,10267.9,11426,13841.5,15746.7,14123.6,17271.8,17072.4,26361.7,BAJAJ-AUTO
"Other Operating Exp., Total",26338.8,27888.1,27935.4,30849.4,34474.6,38314.3,32678.7,35884.6,38964.7,46279.4,BAJAJ-AUTO
Operating Income,43585.2,54098.9,52658,55971.7,62066.5,63378.2,59754.1,62208.3,71558.7,98328.1,BAJAJ-AUTO
Interest Expense,-64.9,-10.5,-14,-13.1,-44.8,-31.6,-66.6,-86.6,-395.1,-603.6,BAJAJ-AUTO
Interest and Invest. Income,,,,,,,,,,,BAJAJ-AUTO
Net Interest Exp.,-64.9,-10.5,-14,-13.1,-44.8,-31.6,-66.6,-86.6,-395.1,-603.6,BAJAJ-AUTO
Income/(Loss) from Affiliates,2137.2,2214.4,2546.2,2876.1,3497.5,3215.1,3063.2,5795.3,5292.9,2675.9,BAJAJ-AUTO
Currency Exchange Gains (Loss),99.9,93.3,-17,187.2,141.6,439,-227.3,302.7,976.9,,BAJAJ-AUTO
Other Non-Operating Inc. (Exp.),730.4,8,11.8,8.4,,,,,,,BAJAJ-AUTO
EBT Excl. Unusual Items,46487.8,56404.1,55185,59030.3,65660.8,67000.7,62523.4,68219.7,77433.4,100400.4,BAJAJ-AUTO
Impairment of Goodwill,,,,,,,,,,,BAJAJ-AUTO
Gain (Loss) On Sale Of Assets,-116.2,-106.1,-72.4,-25.7,466.4,-84.2,-111.6,127.1,974.5,,BAJAJ-AUTO
Asset Writedown,-6.6,-6.5,,,,,,,,,BAJAJ-AUTO
Insurance Settlements,4.6,7.2,4,5.6,8.6,4.8,2.5,4.9,11.9,,BAJAJ-AUTO
Legal Settlements,,,,,3420,,,,,,BAJAJ-AUTO
Other Unusual Items,-3402.9,490.2,758.9,323.9,,,,8165.1,,,BAJAJ-AUTO
EBT Incl. Unusual Items,42966.7,56788.9,55875.5,59334.1,69555.8,66921.3,62414.3,76516.8,78419.8,100400.4,BAJAJ-AUTO
Income Tax Expense,12710.5,16176.5,15080.7,17144.7,20279.8,14802.2,13844.1,14858.1,17817.7,23318,BAJAJ-AUTO
Earnings from Cont. Ops.,30256.2,40612.4,40794.8,42189.4,49276,52119.1,48570.2,61658.7,60602.1,77082.4,BAJAJ-AUTO
Earnings of Discontinued Ops.,,,,,,,,,,,BAJAJ-AUTO
Extraord. Item & Account. Change,,,,,,,,,,,BAJAJ-AUTO
Net Income to Company,30256.2,40612.4,40794.8,42189.4,49276,52119.1,48570.2,61658.7,60602.1,77082.4,BAJAJ-AUTO
Minority Int. in Earnings,0.1,,0.1,0.1,0.1,,,,,,BAJAJ-AUTO
Net Income,30256.3,40612.4,40794.9,42189.5,49276.1,52119.1,48570.2,61658.7,60602.1,77082.4,BAJAJ-AUTO
Pref. Dividends and Other Adj.,,,,,,,,,,,BAJAJ-AUTO
NI to Common Incl Extra Items,30256.3,40612.4,40794.9,42189.5,49276.1,52119.1,48570.2,61658.7,60602.1,77082.4,BAJAJ-AUTO
NI to Common Excl. Extra Items,30256.3,40612.4,40794.9,42189.5,49276.1,52119.1,48570.2,61658.7,60602.1,77082.4,BAJAJ-AUTO
Per Share Items,,,,,,,,,,,BAJAJ-AUTO
Basic EPS,104.6,140.3,141,145.8,170.3,180.2,167.9,213.2,212.5,272.7,BAJAJ-AUTO
Basic EPS Excl. Extra Items,104.6,140.3,141,145.8,170.3,180.2,167.9,213.2,212.5,272.7,BAJAJ-AUTO
Weighted Avg. Basic Shares Out.,289.3,289.4,289.4,289.4,289.4,289.3,289.2,289.1,285.2,282.7,BAJAJ-AUTO
Diluted EPS,104.6,140.3,141,145.8,170.3,180.2,167.9,213.2,212.5,272.7,BAJAJ-AUTO
Diluted EPS Excl. Extra Items,104.6,140.3,141,145.8,170.3,180.2,167.9,213.2,212.5,272.7,BAJAJ-AUTO
Weighted Avg. Diluted Shares Out.,289.3,289.4,289.4,289.4,289.4,289.3,289.2,289.1,285.2,282.7,BAJAJ-AUTO
Normalized Basic EPS,100.4,121.8,119.2,127.5,141.8,144.8,135.1,147.5,169.7,222,BAJAJ-AUTO
Normalized Diluted EPS,100.4,121.8,119.2,127.5,141.8,144.8,135.1,147.5,169.7,222,BAJAJ-AUTO
Dividends per Share,50,55,55,60,60,120,140,140,140,80,BAJAJ-AUTO
Payout Ratio %,0.5,0.7,0,0.4,0.4,1,0,0.7,0.7,0.5,BAJAJ-AUTO
"Interest and Div. Income, Total",53818,72935.4,99667.1,115855,163487.5,229703.9,233033.8,272772.4,355501.9,483066,BAJFINANCE
"Interest Expense, Total",18454,25848.4,33548.6,46139,66235.6,94732.1,94140,97537,125598.9,187246.9,BAJFINANCE
Net Interest Income,35364,47087,66118.5,69716,97251.9,134971.8,138893.8,175235.4,229903,295819.1,BAJFINANCE
Commission And Fees,,,,8081.5,16818.7,25909.2,24523.9,30672.5,43428.5,52671.7,BAJFINANCE
Asset Management Fee,,,,,,,,,,,BAJFINANCE
Mortgage Banking,,,,,,,,,,,BAJFINANCE
Credit Card Fee,,,,,,,,,,,BAJFINANCE
Loan Servicing Revenue,,,,,,,,,,,BAJFINANCE
"Gain (Loss) On Sale Of Loans & Receiv., Total",,,,,,,,,231.7,133.3,BAJFINANCE
"Gain (Loss) on Sale of Invest., Total (Rev)",0.1,0.3,,684.6,,139.3,843,114,-228.5,,BAJFINANCE
Other Revenue,101.5,1.2,,2928.6,4661.2,8093.1,8382.1,12920.6,15120.3,13954.1,BAJFINANCE
Revenue Before Loan Losses,35465.6,47088.5,66118.5,81410.7,118731.8,169113.4,172642.8,218942.5,288455,362578.2,BAJFINANCE
Provision For Loan Losses,2020.3,5428.5,8038.9,,,39294.8,59424.8,48025.6,31405.2,46307,BAJFINANCE
Total Revenue,33445.3,41660,58079.6,81410.7,118731.8,129818.6,113218,170916.9,257049.8,316271.2,BAJFINANCE
Salaries and Other Empl. Benefits,4507.3,6296.3,9316.7,14336.2,19385.3,25479.6,24986.7,35924.4,50591.3,63960.1,BAJFINANCE
Cost of Services Provided,1128.9,971.2,989.8,7870.7,9526,13820.7,14474.3,19536.2,22475.2,19315,BAJFINANCE
Depreciation & Amort.,356,563.4,711.7,1020.7,1441.5,2946.3,3252.7,3845.7,4853.8,6833.2,BAJFINANCE
Amort. of Goodwill and Intangibles,,,,,,,,,,,BAJFINANCE
Provision for Bad Debts,1825.3,,,,,,,,,,BAJFINANCE
Other Operating Exp.,12236.3,14238.9,18766.7,19763.7,26621.8,14338.8,10560.9,16325.4,23737.3,33143.6,BAJFINANCE
Total Operating Exp.,20053.8,22069.8,29784.9,42991.3,56974.6,56585.4,53274.6,75631.7,101657.6,123251.9,BAJFINANCE
Operating Income,13391.5,19590.2,28294.7,38419.4,61757.2,73233.2,59943.4,95285.2,155392.2,193019.3,BAJFINANCE
Income/(Loss) from Affiliates,,,,,,,,,16.7,76.4,BAJFINANCE
Currency Exchange Gains (Loss),,,,0.1,0.5,0.8,,,,,BAJFINANCE
Other Non-Operating Inc. (Exp.),183.2,68.4,33.3,18.6,,10.1,47.7,1,3,,BAJFINANCE
EBT Excl. Unusual Items,13574.7,19658.6,28328,38438.1,61757.7,73244.1,59991.1,95286.2,155411.9,193095.7,BAJFINANCE
Impairment of Goodwill,,,,,,,,,,,BAJFINANCE
Gain (Loss) on Sale of Invest.,-2.6,-9.3,-229.7,,,,,,,,BAJFINANCE
Gain (Loss) On Sale Of Assets,-2.6,-2.5,-2.6,-3.7,33.9,-22.9,-68.5,-248.4,-133.3,,BAJFINANCE
Asset Writedown,,,,,,,,,,,BAJFINANCE
Other Unusual Items,,,78.4,,,,,,,,BAJFINANCE
EBT Incl. Unusual Items,13569.5,19646.8,28174.1,38434.4,61791.6,73221.2,59922.6,95037.8,155278.6,193095.7,BAJFINANCE
Income Tax Expense,4590.7,6860.5,9810.3,13470.7,21841.7,20583.7,15724.4,24755.5,40201.7,48584,BAJFINANCE
Earnings from Cont. Ops.,8978.8,12786.3,18363.8,24963.7,39949.9,52637.5,44198.2,70282.3,115076.9,144511.7,BAJFINANCE
Earnings of Discontinued Ops.,,,,,,,,,,,BAJFINANCE
Extraord. Item & Account. Change,,,,,,,,,,,BAJFINANCE
Net Income to Company,8978.8,12786.3,18363.8,24963.7,39949.9,52637.5,44198.2,70282.3,115076.9,144511.7,BAJFINANCE
Minority Int. in Earnings,,,,,,,,,,,BAJFINANCE
Net Income,8978.8,12786.3,18363.8,24963.7,39949.9,52637.5,44198.2,70282.3,115076.9,144511.7,BAJFINANCE
Pref. Dividends and Other Adj.,,,,,,,,,,,BAJFINANCE
NI to Common Incl Extra Items,8978.8,12786.3,18363.8,24963.7,39949.9,52637.5,44198.2,70282.3,115076.9,144511.7,BAJFINANCE
NI to Common Excl. Extra Items,8978.8,12786.3,18363.8,24963.7,39949.9,52637.5,44198.2,70282.3,115076.9,144511.7,BAJFINANCE
Per Share Items,,,,,,,,,,,BAJFINANCE
Basic EPS,18,24.2,34,44.4,69.3,89.8,73.6,116.6,190.5,236.9,BAJFINANCE
Basic EPS Excl. Extra Items,18,24.2,34,44.4,69.3,89.8,73.6,116.6,190.5,236.9,BAJFINANCE
Weighted Avg. Basic Shares Out.,499,527.7,540,562.6,576.2,586.3,600.7,602.6,604,610,BAJFINANCE
Diluted EPS,17.8,23.9,33.7,43.9,68.7,89.1,73,115.8,189.6,236,BAJFINANCE
Diluted EPS Excl. Extra Items,17.8,23.9,33.7,43.9,68.7,89.1,73,115.8,189.6,236,BAJFINANCE
Weighted Avg. Diluted Shares Out.,505.3,535.3,545.4,568.4,581,591,605.5,607,607,612.4,BAJFINANCE
Normalized Basic EPS,17,23.3,32.8,42.7,67,78.1,62.4,98.8,160.8,197.8,BAJFINANCE
Normalized Diluted EPS,16.8,23,32.5,42.3,66.4,77.5,61.9,98.1,160,197.1,BAJFINANCE
Premiums and Annuity Rev.,38319,100553.6,110591.5,164255,198573.2,244985.6,257598.3,314298.4,359133.4,463226.5,BAJAJFINSV
Total Interest And Dividend Income,4885.4,,,137841.5,188427.9,265693.8,270256.6,314314.3,402909.1,539556,BAJAJFINSV
Asset Management Fee,,,,,,,,,,,BAJAJFINSV
"Gain (Loss) on Sale of Invest., Total (Rev)",2225.5,1233.5,1578,,,,37747.9,3222,-8973.9,-849.7,BAJAJFINSV
Non-Insurance Activities Revenue,,,,1396.1,1472.5,1876.9,2837.8,3404.9,3258.7,6551.2,BAJAJFINSV
Other Revenue,62701.6,103289.5,132294.7,23968.8,36615.4,28144.9,34053.8,36127.5,49655.8,82727.5,BAJAJFINSV
Total Revenue,108131.5,205076.6,244464.2,327461.4,425089,540701.2,602494.4,671367.1,805983.1,1091211.5,BAJAJFINSV
Policy Benefits,23843.6,80664,96761.1,144132.9,174849.9,213867.1,246952.9,281086.6,302472.7,416488.9,BAJAJFINSV
Policy Acq. and Underwriting Costs,492.4,31712.6,27209.6,12815.2,16927.7,22061,26143.7,34420.4,42381.7,69706,BAJAJFINSV
Depreciation & Amort.,381.5,577.2,726.3,1598.9,2260.9,4567.9,4984.6,5627.3,6778,9001.3,BAJAJFINSV
Amort. of Goodwill and Intangibles,,,,,,,,,,,BAJAJFINSV
"Selling General & Admin Exp., Total",10300.9,321.6,1087.1,10752.8,12292.5,18587.7,17493.2,22537.8,30901.2,,BAJAJFINSV
Provision For Loan Losses,-3845.6,-5428.5,-8038.9,,,,-59432.8,-48031.2,-31415.9,-45486.1,BAJAJFINSV
Salaries and Other Empl. Benefits,5780.2,7680.4,10007.3,26958,37214.4,46274,45204.3,63037.4,84244.1,103609.5,BAJAJFINSV
Other Operating Exp.,8900.7,11898.6,14302.8,14671.2,17769.7,17740.4,12176.2,9011.5,17676.1,49255.2,BAJAJFINSV
Non-Insurance Activities Exp.,,,,,,,,,,,BAJAJFINSV
Total Operating Exp.,53544.9,138282.9,158133.1,210929,261315.1,323098.1,412387.7,463752.2,515869.7,693547,BAJAJFINSV
Operating Income,54586.6,66793.7,86331.1,116532.4,163773.9,217603.1,190106.7,207614.9,290113.4,397664.5,BAJAJFINSV
"Interest Expense, Total",-18267.1,-25349.4,-32674.3,-45310,-65400.3,-93385.3,-91412.8,-94982.6,-122014.2,-183995.1,BAJAJFINSV
Income/(Loss) from Affiliates,-0.2,,,12.9,13.6,6.6,-1.8,-3.6,11.9,80.9,BAJAJFINSV
Other Non-Operating Inc. (Exp.),-3855.2,-3401.3,-4410.1,-10248.2,-16839.8,-41203.8,0.5,,,,BAJAJFINSV
EBT Excl. Unusual Items,32464.1,38043,49246.7,60987.1,81547.4,83020.6,98692.6,112628.7,168111.1,213750.3,BAJAJFINSV
Impairment of Goodwill,,,,,,,,,,,BAJAJFINSV
Gain (Loss) On Sale Of Assets,-2.6,-2.5,-1.4,,,-4,-69.2,77.1,0.2,,BAJAJFINSV
Other Unusual Items,,,,,,,,,,,BAJAJFINSV
EBT Incl. Unusual Items,32461.5,38040.5,49245.3,60987.1,81547.4,83016.6,98623.4,112705.8,168111.3,213750.3,BAJAJFINSV
Income Tax Expense,8369.8,10294.9,14748.2,19223.6,27808.9,23080.6,24949.6,29570.5,46015.9,57796.7,BAJAJFINSV
Earnings from Cont. Ops.,24091.7,27745.6,34497.1,41763.5,53738.5,59936,73673.8,83135.3,122095.4,155953.6,BAJAJFINSV
Earnings of Discontinued Ops.,,,,,,,,,,,BAJAJFINSV
Extraord. Item & Account. Change,,,,,,,,,,,BAJAJFINSV
Net Income to Company,24091.7,27745.6,34497.1,41763.5,53738.5,59936,73673.8,83135.3,122095.4,155953.6,BAJAJFINSV
Minority Int. in Earnings,-7193.8,-9112.9,-11877.9,-15260.9,-21548.1,-26244.7,-28969.2,-37567.6,-57922.6,-74475.7,BAJAJFINSV
Net Income,16897.9,18632.7,22619.2,26502.6,32190.4,33691.3,44704.6,45567.7,64172.8,81477.9,BAJAJFINSV
Pref. Dividends and Other Adj.,,,,,,,,,,,BAJAJFINSV
NI to Common Incl Extra Items,16897.9,18632.7,22619.2,26502.6,32190.4,33691.3,44704.6,45567.7,64172.8,81477.9,BAJAJFINSV
NI to Common Excl. Extra Items,16897.9,18632.7,22619.2,26502.6,32190.4,33691.3,44704.6,45567.7,64172.8,81477.9,BAJAJFINSV
Per Share Items,,,,,,,,,,,BAJAJFINSV
Basic EPS,10.6,11.7,14.2,16.7,20.2,21.2,28.1,28.6,40.3,51.2,BAJAJFINSV
Basic EPS Excl. Extra Items,10.6,11.7,14.2,16.7,20.2,21.2,28.1,28.6,40.3,51.2,BAJAJFINSV
Weighted Avg. Basic Shares Out.,1591.2,1591.3,1591.3,1591.3,1591.4,1591.4,1591.4,1591.4,1591.4,1591.4,BAJAJFINSV
Diluted EPS,10.6,11.7,14.2,16.6,20.2,21.2,28.1,28.6,40,50.7,BAJAJFINSV
Diluted EPS Excl. Extra Items,10.6,11.7,14.2,16.6,20.2,21.2,28.1,28.6,40,50.7,BAJAJFINSV
Weighted Avg. Diluted Shares Out.,1591.2,1591.3,1591.3,1591.3,1591.6,1591.7,1591.7,1591.9,1604.3,1607.1,BAJAJFINSV
Normalized Basic EPS,8.2,9.2,11.9,14.4,18.5,16.1,20.6,20.6,29.6,37.1,BAJAJFINSV
Normalized Diluted EPS,8.2,9.2,11.9,14.4,18.5,16.1,20.6,20.6,29.4,36.8,BAJAJFINSV
Dividends per Share,0.2,0.2,0.2,0.2,0.2,0.5,0.3,0.4,0.8,1,BAJAJFINSV
Payout Ratio %,0,0,0,0,0.1,0.2,0,0.1,0.1,0.1,BAJAJFINSV
Shares per Depository Receipt,1,1,1,1,1,1,1,1,1,1,BAJAJFINSV
Supplemental Items,,,,,,,,,,,BAJAJFINSV
EBITDA,55260.9,67519.8,87284.2,117797.5,165479.3,219867.7,192295.2,210066.1,292744.9,406665.8,BAJAJFINSV
EBITA,54586.6,66793.7,86331.1,116532.4,163773.9,217603.1,190106.7,207614.9,290113.4,397664.5,BAJAJFINSV
Revenue,2425985,1878146,2012506.6,2358951.1,2982255.9,2845719,2301708.1,3467910.8,4731871.8,4480830.3,BPCL
Other Revenue,,,,,,,,,,22347.3,BPCL
Total Revenue,2425985,1878146,2012506.6,2358951.1,2982255.9,2845719,2301708.1,3467910.8,4731871.8,4503177.6,BPCL
Cost Of Goods Sold,2176644.7,1601200,1714109.5,2021117,2611424.5,2525921.3,1873987.6,3034012.7,4332122.9,3760961.5,BPCL
Gross Profit,249340.3,276946,298397.1,337834.1,370831.4,319797.7,427720.5,433898.1,399748.9,742216.1,BPCL
Selling General & Admin Exp.,25749.7,33932.6,40168,40084.7,43909,41889.8,42069.8,38282,36448.9,35771.7,BPCL
Provision for Bad Debts,,,,,,,,,,,BPCL
R & D Exp.,,,,,,,,,,,BPCL
Depreciation & Amort.,30266.8,20718.7,21076.4,28850,34177.7,40800.9,43342.1,54343.5,63688.2,67712.6,BPCL
Other Operating Expense/(Income),125554.1,112931.1,120345.9,140677.6,168647.6,169425.4,164272.5,200837.3,238665.7,241479.4,BPCL
"Other Operating Exp., Total",181570.6,167582.4,181590.3,209612.3,246734.3,252116.1,249684.4,293462.8,338802.8,344963.7,BPCL
Operating Income,67769.7,109363.6,116806.8,128221.8,124097.1,67681.6,178036.1,140435.3,60946.1,397252.4,BPCL
Interest Expense,-10447.2,-6562.3,-6693.6,-11635.8,-17364.4,-26037.2,-19466.3,-25672.3,-37162.4,-41488.9,BPCL
Interest and Invest. Income,9307.3,10457.2,11158.5,9390.8,11189.2,11042.7,11023.8,11174.8,8175.7,,BPCL
Net Interest Exp.,-1139.9,3894.9,4464.9,-2245,-6175.2,-14994.5,-8442.5,-14497.5,-28986.7,-41488.9,BPCL
Income/(Loss) from Affiliates,,3510.1,9433.9,12888.8,9373.2,14006.7,-3255.3,15357.3,21919.2,10655.3,BPCL
Currency Exchange Gains (Loss),1425.6,62,260.9,-85.5,-7075.8,-16691.1,2013.7,-2833.5,-15043.3,-1797.4,BPCL
Other Non-Operating Inc. (Exp.),4136.4,4990.2,3907.8,4579,8463.9,5640.4,10462.5,7152.2,6186.4,,BPCL
EBT Excl. Unusual Items,72191.8,121820.8,134874.3,143359.1,128683.2,55643.1,178814.5,145613.8,45021.7,364621.4,BPCL
Restructuring Charges,-12.8,,,-1185.9,,,-7788.3,-29,,,BPCL
Impairment of Goodwill,,,,,,,,,,,BPCL
Gain (Loss) On Sale Of Invest.,4834.2,,418.7,106.5,277.9,362,35.8,529.6,23.2,,BPCL
Gain (Loss) On Sale Of Assets,-28.9,-339.8,-371.5,-364.7,38.9,-440.9,-220.3,26,-107.2,,BPCL
Asset Writedown,,-371.5,-55.2,-267.2,-76.7,-19457.1,-2992.7,433.4,-10011.4,,BPCL
Other Unusual Items,-79.6,206.4,2129.8,87.4,130.4,408.6,56471.2,13793.5,-6715,-2677,BPCL
EBT Incl. Unusual Items,76904.7,121315.9,136996.1,141735.2,129053.7,36515.7,224320.2,160367.3,28211.3,361944.4,BPCL
Income Tax Expense,26084.6,40427.2,41926.4,43816.1,43775.2,-142.1,51121.9,43552.3,6900.8,93356,BPCL
Earnings from Cont. Ops.,50820.1,80888.7,95069.7,97919.1,85278.5,36657.8,173198.3,116815,21310.5,268588.4,BPCL
Earnings of Discontinued Ops.,,,,,,,,,,,BPCL
Extraord. Item & Account. Change,,,,,,,,,,,BPCL
Net Income to Company,50820.1,80888.7,95069.7,97919.1,85278.5,36657.8,173198.3,116815,21310.5,268588.4,BPCL
Minority Int. in Earnings,-2754.4,-5043.6,-7860.3,-7832.8,-7255.5,-6104.2,-11548.5,,,,BPCL
Net Income,48065.7,75845.1,87209.4,90086.3,78023,30553.6,161649.8,116815,21310.5,268588.4,BPCL
Pref. Dividends and Other Adj.,,,,,,,,,,,BPCL
NI to Common Incl Extra Items,48065.7,75845.1,87209.4,90086.3,78023,30553.6,161649.8,116815,21310.5,268588.4,BPCL
NI to Common Excl. Extra Items,48065.7,75845.1,87209.4,90086.3,78023,30553.6,161649.8,116815,21310.5,268588.4,BPCL
Per Share Items,,,,,,,,,,,BPCL
Basic EPS,22.2,38.6,44.3,45.8,39.7,15.5,81.9,54.9,10,126.1,BPCL
Basic EPS Excl. Extra Items,22.2,38.6,44.3,45.8,39.7,15.5,81.9,54.9,10,126.1,BPCL
Weighted Avg. Basic Shares Out.,2169.3,1967,1966.9,1966.9,1966.9,1966.9,1974.5,2127.5,2129.5,2130.3,BPCL
Diluted EPS,22.2,38.6,44.3,45.8,39.7,15.5,81.6,54.9,10,126.1,BPCL
Diluted EPS Excl. Extra Items,22.2,38.6,44.3,45.8,39.7,15.5,81.6,54.9,10,126.1,BPCL
Weighted Avg. Diluted Shares Out.,2169.4,1967,1966.9,1966.9,1966.9,1966.9,1981,2127.5,2129.5,2130.3,BPCL
Normalized Basic EPS,19.5,36.1,38.9,41.6,37.2,14.6,50.8,42.8,13.2,107,BPCL
Normalized Diluted EPS,19.5,36.1,38.9,41.6,37.2,14.6,50.6,42.8,13.2,107,BPCL
Dividends per Share,7.5,10.3,11,21,19,16.5,44,16,4,42,BPCL
Payout Ratio %,0.3,0.4,0.6,0.4,0.5,1.7,0.3,1.2,0.6,0.2,BPCL
Supplemental Items,,,,,,,,,,,BPCL
Revenue,920394,965321,954683,826388,807802,846765,1006158,1165469,1391448,1499824,BHARTIARTL
Other Revenue,,871,1206,2488,3288,15357,6428,,,,BHARTIARTL
Total Revenue,920394,966192,955889,828876,811090,862122,1012586,1165469,1391448,1499824,BHARTIARTL
Cost Of Goods Sold,451160,455314,447902,403013,425891,412663,455570,472785,527465,548962,BHARTIARTL
Gross Profit,469234,510878,507987,425863,385199,449459,557016,692684,863983,950862,BHARTIARTL
Selling General & Admin Exp.,155018,82410,66732,45275,41568,34236,38009,53035,72454,81326,BHARTIARTL
Provision for Bad Debts,,4960,873,1156,24353,623,1740,1179,1402,,BHARTIARTL
R & D Exp.,,,,,,,,,,,BHARTIARTL
Depreciation & Amort.,155311,174498,190761,192431,213475,270944,294044,330907,364318,395376,BHARTIARTL
Other Operating Expense/(Income),-957,82795,85878,75860,58352,56699,57023,61047,75203,86618,BHARTIARTL
"Other Operating Exp., Total",309372,344663,344244,314722,337748,362502,390816,446168,513377,563320,BHARTIARTL
Operating Income,159862,166215,163743,111141,47451,86957,166200,246516,350606,387542,BHARTIARTL
Interest Expense,-28464,-47472,-67131,-64692,-90566,-108855,-124274,-132501,-142955,-189531,BHARTIARTL
Interest and Invest. Income,1857,5289,3440,6474,5256,,,2206,3080,,BHARTIARTL
Net Interest Exp.,-26607,-42183,-63691,-58218,-85310,-108855,-124274,-130295,-139875,-189531,BHARTIARTL
Income/(Loss) from Affiliates,7223,10666,10449,10609,3556,-6627,-928,24232,7521,27094,BHARTIARTL
Currency Exchange Gains (Loss),-22718,-16852,-3624,-1882,-5973,-14824,-3193,-8160,-21475,,BHARTIARTL
Other Non-Operating Inc. (Exp.),-15851,-13333,-16132,-19340,-9899,-17053,-23443,-24374,-24450,-31730,BHARTIARTL
EBT Excl. Unusual Items,101909,104513,90745,42310,-50175,-60402,14362,107919,172327,193375,BHARTIARTL
Restructuring Charges,-4397,-3713,-540,,,,-447,,,,BHARTIARTL
Merger & Related Restruct. Charges,,,,,-1368,,,,,,BHARTIARTL
Impairment of Goodwill,,,,,,,,,,,BHARTIARTL
Gain (Loss) On Sale Of Invest.,13753,2209,5154,-1416,3394,,,,,9138,BHARTIARTL
Gain (Loss) On Sale Of Assets,,,,-293,175,-10,-99,-74,-22,,BHARTIARTL
Asset Writedown,,-3041,-10227,,,-13757,-8920,-3810,,,BHARTIARTL
Legal Settlements,,,,,,-56420,,,,,BHARTIARTL
Other Unusual Items,-4135,28495,-7899,-7931,30656,-330715,-149778,20796,-6698,-75723,BHARTIARTL
EBT Incl. Unusual Items,107130,128463,77233,32670,-17318,-461304,-144882,124831,165607,126790,BHARTIARTL
Income Tax Expense,54047,59533,34819,10835,-34193,-125124,89325,41779,42733,41210,BHARTIARTL
Earnings from Cont. Ops.,53083,68930,42414,21835,16875,-336180,-234207,83052,122874,85580,BHARTIARTL
Earnings of Discontinued Ops.,,,,,,29538,110567,,,,BHARTIARTL
Extraord. Item & Account. Change,,,,,,,,,,,BHARTIARTL
Net Income to Company,53083,68930,42414,21835,16875,-306642,-123640,83052,122874,85580,BHARTIARTL
Minority Int. in Earnings,-1248,-8163,-4416,-10845,-12780,-15190,-27195,-40503,-39415,-10910,BHARTIARTL
Net Income,51835,60767,37998,10990,4095,-321832,-150835,42549,83459,74670,BHARTIARTL
Pref. Dividends and Other Adj.,,,,,,,,,,,BHARTIARTL
NI to Common Incl Extra Items,51835,60767,37998,10990,4095,-321832,-150835,42549,83459,74670,BHARTIARTL
NI to Common Excl. Extra Items,51835,60767,37998,10990,4095,-351370,-261402,42549,83459,74670,BHARTIARTL
Per Share Items,,,,,,,,,,,BHARTIARTL
Basic EPS,13,15.2,9.5,2.8,1,-63.4,-27.5,7.7,14.8,13.1,BHARTIARTL
Basic EPS Excl. Extra Items,13,15.2,9.5,2.8,1,-69.2,-47.7,7.7,14.8,13.1,BHARTIARTL
Weighted Avg. Basic Shares Out.,3996,3995.9,3995.8,3996.1,3995.8,5075.6,5480.9,5546.3,5640.7,5704.4,BHARTIARTL
Diluted EPS,13,15.2,9.5,2.8,1,-63.4,-27.5,7.6,14.6,12.8,BHARTIARTL
Diluted EPS Excl. Extra Items,13,15.2,9.5,2.8,1,-69.2,-47.7,7.6,14.6,12.8,BHARTIARTL
Weighted Avg. Diluted Shares Out.,3998,3996.7,3997.2,3997.8,3997.8,5075.6,5480.9,5579.5,5728.5,5833.6,BHARTIARTL
Normalized Basic EPS,15.6,14.3,13.1,3.9,-11,-10.4,-3.3,4.9,12.1,19.3,BHARTIARTL
Normalized Diluted EPS,15.6,14.3,13.1,3.9,-11,-10.4,-3.3,4.8,11.9,18.8,BHARTIARTL
Dividends per Share,3.8,1.4,1,5.3,2.5,2,,3,4,8,BHARTIARTL
Payout Ratio %,0.3,0.2,0.2,3,11.4,,,0.3,0.4,0.6,BHARTIARTL
Revenue,77750.9,83254.4,89622.8,98295.2,109734.6,114439.9,128830.4,139446.7,159849,165462.1,BRITANNIA
Other Revenue,126.1,100.7,561,574.1,588.2,1271.4,2176.8,1490.8,2566.5,2230.6,BRITANNIA
Total Revenue,77877,83355.1,90183.8,98869.3,110322.8,115711.3,131007.2,140937.5,162415.5,167692.7,BRITANNIA
Cost Of Goods Sold,47358.8,50554,56361.3,61589,66308.8,69908.8,76911,88370.4,96841.7,94920.3,BRITANNIA
Gross Profit,30518.2,32801.1,33822.5,37280.3,44014,45802.5,54096.2,52567.1,65573.8,72772.4,BRITANNIA
Selling General & Admin Exp.,9413.7,8235.1,7805.2,4371.2,9791.1,9961.3,10156.7,10354,14205.4,7087,BRITANNIA
Provision for Bad Debts,,,,,,51,,,,,BRITANNIA
R & D Exp.,,,,,,,,,,,BRITANNIA
Depreciation & Amort.,1444.8,1134.1,1192.7,1420.7,1583.5,1848.1,1978.5,2005.4,2259.1,3004.6,BRITANNIA
Other Operating Expense/(Income),12401.3,12327.3,13210,17892.6,16888.7,17358.4,18846.6,20198,23059.3,33987,BRITANNIA
